Epoch: 72 Generator Loss: 24.6028 Discriminator Loss: 0.114593, Time: 29.34
Epoch: 73 Generator Loss: 24.3619 Discriminator Loss: 0.114595, Time: 29.35
Epoch: 74 Generator Loss: 25.9400 Discriminator Loss: 0.114591, Time: 29.35
Epoch: 75 Generator Loss: 24.9673 Discriminator Loss: 0.114602, Time: 29.34
Epoch: 76 Generator Loss: 25.0039 Discriminator Loss: 0.114588, Time: 29.34
Epoch: 77 Generator Loss: 25.8102 Discriminator Loss: 0.114590, Time: 29.33
Epoch: 78 Generator Loss: 24.9793 Discriminator Loss: 0.114589, Time: 29.34
Epoch: 79 Generator Loss: 27.9301 Discriminator Loss: 0.114587, Time: 29.35
Epoch: 80 Generator Loss: 28.2601 Discriminator Loss: 0.114586, Time: 29.33
Epoch: 81 Generator Loss: 26.6000 Discriminator Loss: 0.114588, Time: 29.33
Epoch: 82 Generator Loss: 24.1191 Discriminator Loss: 0.114586, Time: 29.34
Epoch: 83 Generator Loss: 26.9323 Discriminator Loss: 0.114586, Time: 29.33
Epoch: 84 Generator Loss: 27.2834 Discriminator Loss: 0.114585, Time: 29.35
Epoch: 85 Generator Loss: 27.2823 Discriminator Loss: 0.114590, Time: 29.33
Epoch: 86 Generator Loss: 28.0401 Discriminator Loss: 0.114588, Time: 29.36
Epoch: 87 Generator Loss: 25.2223 Discriminator Loss: 0.114586, Time: 29.34
Epoch: 88 Generator Loss: 25.0513 Discriminator Loss: 0.114585, Time: 29.34
Epoch: 89 Generator Loss: 25.6838 Discriminator Loss: 0.114587, Time: 29.33
Epoch: 90 Generator Loss: 25.7185 Discriminator Loss: 0.114586, Time: 29.34
Epoch: 91 Generator Loss: 24.5411 Discriminator Loss: 0.114603, Time: 29.35
Epoch: 92 Generator Loss: 26.3386 Discriminator Loss: 0.114596, Time: 29.34
Epoch: 93 Generator Loss: 27.0640 Discriminator Loss: 0.089917, Time: 29.35
Epoch: 94 Generator Loss: 26.7608 Discriminator Loss: 0.078134, Time: 29.34
Epoch: 95 Generator Loss: 24.2319 Discriminator Loss: 0.078133, Time: 29.36
Epoch: 96 Generator Loss: 25.2834 Discriminator Loss: 0.078129, Time: 29.34
Epoch: 97 Generator Loss: 27.5770 Discriminator Loss: 0.078129, Time: 29.33
Epoch: 98 Generator Loss: 26.6794 Discriminator Loss: 0.078128, Time: 29.34
Epoch: 99 Generator Loss: 29.6188 Discriminator Loss: 0.078128, Time: 29.35
Epoch: 100 Generator Loss: 25.8629 Discriminator Loss: 0.078130, Time: 29.34
Saving model Checkpoint  ......
Model Saved!
Generating Validation Data B from A...
/home/pritish/CCPP/Voice-Conversion-GAN/preprocess.py:114: RuntimeWarning: divide by zero encountered in log
  std_log_src * std_log_target + mean_log_target)
Generating Validation Data A from B...
Time taken for validation Set: 97.44312715530396
Epoch: 101 Generator Loss: 25.0055 Discriminator Loss: 0.078127, Time: 29.29
Epoch: 102 Generator Loss: 25.6768 Discriminator Loss: 0.078126, Time: 29.30
Epoch: 103 Generator Loss: 25.6776 Discriminator Loss: 0.078127, Time: 29.32
Epoch: 104 Generator Loss: 25.0916 Discriminator Loss: 0.078128, Time: 29.32
Epoch: 105 Generator Loss: 25.3634 Discriminator Loss: 0.078126, Time: 29.35
Epoch: 106 Generator Loss: 26.4855 Discriminator Loss: 0.078127, Time: 29.33
Epoch: 107 Generator Loss: 26.0133 Discriminator Loss: 0.078126, Time: 29.34
Epoch: 108 Generator Loss: 26.2246 Discriminator Loss: 0.078127, Time: 29.33
Epoch: 109 Generator Loss: 25.1026 Discriminator Loss: 0.078126, Time: 29.35
Epoch: 110 Generator Loss: 25.8190 Discriminator Loss: 0.078126, Time: 29.33
Epoch: 111 Generator Loss: 26.2902 Discriminator Loss: 0.078126, Time: 29.36
Epoch: 112 Generator Loss: 24.8171 Discriminator Loss: 0.078126, Time: 29.34
Epoch: 113 Generator Loss: 27.3686 Discriminator Loss: 0.078130, Time: 29.34
Epoch: 114 Generator Loss: 25.1431 Discriminator Loss: 0.078126, Time: 29.34
Epoch: 115 Generator Loss: 27.1931 Discriminator Loss: 0.078128, Time: 29.34
Epoch: 116 Generator Loss: 25.8349 Discriminator Loss: 0.082132, Time: 29.33
Epoch: 117 Generator Loss: 23.9249 Discriminator Loss: 0.078142, Time: 29.36
Epoch: 118 Generator Loss: 25.1683 Discriminator Loss: 0.078131, Time: 29.35
Epoch: 119 Generator Loss: 26.2008 Discriminator Loss: 0.078139, Time: 29.33
Epoch: 120 Generator Loss: 25.6199 Discriminator Loss: 0.078133, Time: 29.34
Epoch: 121 Generator Loss: 25.7600 Discriminator Loss: 0.078134, Time: 29.35
Epoch: 122 Generator Loss: 25.2104 Discriminator Loss: 0.078502, Time: 29.35
Epoch: 123 Generator Loss: 24.7212 Discriminator Loss: 0.078136, Time: 29.78
Epoch: 124 Generator Loss: 26.2806 Discriminator Loss: 0.078137, Time: 30.20
Epoch: 125 Generator Loss: 27.5089 Discriminator Loss: 0.078128, Time: 29.68
Epoch: 126 Generator Loss: 26.2034 Discriminator Loss: 0.078128, Time: 29.35
Epoch: 127 Generator Loss: 27.0179 Discriminator Loss: 0.078128, Time: 29.40
Epoch: 128 Generator Loss: 25.6439 Discriminator Loss: 0.078128, Time: 29.34
Epoch: 129 Generator Loss: 25.3995 Discriminator Loss: 0.078133, Time: 29.35
Epoch: 130 Generator Loss: 26.8689 Discriminator Loss: 0.078126, Time: 29.33
Epoch: 131 Generator Loss: 26.5881 Discriminator Loss: 0.078127, Time: 29.34
Epoch: 132 Generator Loss: 23.5092 Discriminator Loss: 0.078126, Time: 29.38
Epoch: 133 Generator Loss: 24.5593 Discriminator Loss: 0.078126, Time: 29.35
